"","Team","Games","Win","Loss","Off.Rank","Off.Plays","Off.Yards","Off.Yards.Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards.Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","X4th.Down.Rank","X4th.Attempts","X4th.Conversions","X4th.Percent","X4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","...40","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown.x","Pass.Yards","Pass.Yards.Attempt","Yards.Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards.Attempt.Allowed","Yards.Completion.Allowed","Pass.Yards.Per.Game.Allowed","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards.Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds.Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","X2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Scoring.Off.Rank","Touchdowns","PAT","X2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","X3rd.Down.Rank","X3rd.Attempts","X3rd.Conversions","X3rd.Percent","X3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown.y","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","CONF","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","Private","Apps","Accept","Enroll","Top10perc","Top25perc","F.Undergrad","P.Undergrad","Outstate","Room.Board","Books","Personal","PhD","Terminal","S.F.Ratio","perc.alumni","Expend","Grad.Rate"
"47","University of Oklahoma",14,12,2,3,946,7527,7.96,74,537.6,38,886,4990,5.63,47,48,356.4,98,98,138,42,278,98,98,138,42,278,14,8,12,0.667,26,10,24,0.417,33,38,59,730,0,19.21,33,38,59,730,0,19.21,18,381,262,9,4164,10.93,15.89,36,297.4,58,257,427,3113,27,7.29,12.11,222.4,129,101,1038,74.14,90,5,46,0,9.2,90,5,46,0,9.2,13,73,30,22,15,67,0.918,128,48,20,12,13,45,0.938,14,565,3363,5.95,38,240.2,32,459,1877,4.09,20,134.1,38,23,147,1.64,64,48,46,0,0,16,0,382,27.3,6,76,75,1,0,19,0,590,42.1,17,86,36,405,104,7.4,5,155,77,0.497,17,57,177,0.322,39,"   434:30","   31:02",109,4,7,11,10,9,19,-8,-0.57,"B12",34,20,110.5,93.1,0.878,50.4,47.5,17,17.3,25.8,27.8,31.3,23.1,49.7,45.8,34.6,33.3,70.3,2.5,"R32",9,"No",4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86,90,11.5,11,10244,44
"48","Oklahoma State University",13,8,5,21,924,5901,6.39,50,453.9,82,926,5360,5.79,41,43,412.3,80,117,135,19,271,80,117,135,19,271,69,11,21,0.524,15,8,21,0.381,41,36,33,702,0,19.5,41,36,33,702,0,19.5,71,362,232,12,2916,8.06,12.57,23,224.3,102,270,447,3300,23,7.38,12.22,253.8,34,67,612,47.08,4,11,18,0,1.64,4,11,18,0,1.64,16,45,17,10,14,41,0.911,95,45,14,14,11,39,0.867,17,562,2985,5.31,27,229.6,67,479,2060,4.3,18,158.5,64,26,157,2,61,43,38,2,0,16,0,348,26.8,35,52,48,1,0,20,0,422,32.5,68,58,38,268,77,5.9,77,185,72,0.389,66,75,191,0.393,95,"   374:59","   28:50",70,7,12,19,8,12,20,-1,-0.08,"B12",32,12,109.1,100.6,0.7177,50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,46,48.3,37.2,35.4,67.5,-4.1,NA,NA,"No",4522,3913,2181,29,57,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48
"49","University of Mississippi",12,4,8,26,891,5343,6,40,445.3,85,859,5001,5.82,36,39,416.8,73,104,146,17,267,73,104,146,17,267,65,17,32,0.531,101,12,20,0.6,24,30,16,546,0,18.2,24,30,16,546,0,18.2,102,332,186,6,2328,7.01,12.52,11,194,120,288,434,3339,20,7.69,11.59,278.3,40,59,585,48.75,110,21,245,1,11.67,110,21,245,1,11.67,50,38,16,6,11,33,0.868,97,38,11,10,12,33,0.868,9,559,3015,5.39,29,251.3,42,425,1662,3.91,16,138.5,41,21,127,1.75,59,39,34,0,0,16,1,318,26.5,82,41,36,2,0,11,0,319,26.6,57,58,30,291,73,6.1,96,182,67,0.368,73,69,173,0.399,104,"   338:58","   28:14",53,6,10,16,9,6,15,1,0.08,"SEC",33,20,113.3,97.9,0.8433,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,69.7,0.9,"R64",8,"No",3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53
"50","University of Oregon",14,12,2,40,956,6063,6.34,61,433.1,22,973,4607,4.73,23,24,329.1,73,94,139,34,267,73,94,139,34,267,73,13,25,0.52,28,14,33,0.424,118,44,27,1075,1,24.43,118,44,27,1075,1,24.43,41,446,298,6,3615,8.11,12.13,35,258.2,53,297,506,3082,18,6.09,10.38,220.1,103,85,862,61.57,64,26,193,0,7.42,64,26,193,0,7.42,96,63,21,20,8,49,0.778,23,39,5,9,16,30,0.769,51,510,2448,4.8,26,174.9,13,467,1525,3.27,5,108.9,49,25,175,1.79,9,24,21,3,0,20,0,231,16.5,16,67,64,1,0,9,0,495,35.4,26,74,46,384,97,6.9,44,177,74,0.418,22,73,220,0.332,103,"   395:35","   28:15",5,7,20,27,5,6,11,16,1.14,"P12",38,25,108.1,91.7,0.8687,52,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29,65.4,-1.1,"S16",12,"No",8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54
"51","Pennsylvania State University",13,11,2,57,885,5355,6.05,59,411.9,34,935,4504,4.82,23,23,346.5,37,87,140,19,246,37,87,140,19,246,28,11,18,0.611,94,15,26,0.577,7,14,66,239,0,17.07,7,14,66,239,0,17.07,76,369,217,9,2877,7.8,13.26,25,221.3,100,273,451,3269,10,7.25,11.97,251.5,26,57,589,45.31,5,20,34,0,1.7,5,20,34,0,1.7,21,52,27,10,10,47,0.904,54,33,13,3,11,27,0.818,36,516,2478,4.8,34,190.6,5,484,1235,2.55,13,95,98,32,179,2.46,8,23,22,0,0,16,0,208,16,15,61,56,2,0,13,0,465,35.8,11,77,48,479,101,7.8,41,172,73,0.424,37,73,203,0.36,108,"   362:40","   27:53",19,12,10,22,5,9,14,8,0.62,"B10",32,14,109.9,92.8,0.8755,47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,47.2,48.4,32,35.4,68.9,-2.7,NA,NA,"No",19315,10344,3450,48,93,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63
"52","University of Pittsburgh",13,8,5,87,954,4946,5.18,28,380.5,15,905,4068,4.5,31,33,312.9,30,88,107,41,236,30,88,107,41,236,85,8,17,0.471,83,10,18,0.556,44,24,37,472,0,19.67,44,24,37,472,0,19.67,39,513,316,10,3402,6.63,10.77,17,261.7,34,221,433,2658,19,6.14,12.03,204.5,119,102,888,68.31,99,27,279,1,10.33,99,27,279,1,10.33,90,38,9,9,12,30,0.789,39,46,11,10,16,37,0.804,119,441,1544,3.5,11,118.8,12,472,1410,2.99,12,108.5,77,29,212,2.23,36,33,29,1,0,21,0,292,22.5,114,30,29,0,0,22,0,275,21.2,9,73,60,467,103,7.9,69,211,84,0.398,23,68,204,0.333,45,"   398:46","   30:40",112,5,9,14,12,10,22,-8,-0.62,"ACC",33,14,103.3,98.2,0.6421,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,46.9,45.8,33.1,33.6,68.7,-6.3,NA,NA,"No",8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
"53","Purdue University",12,4,8,75,862,4718,5.47,38,393.2,100,869,5235,6.02,45,46,436.3,58,119,128,14,261,58,119,128,14,261,77,8,16,0.5,108,11,18,0.611,43,17,40,334,0,19.65,43,17,40,334,0,19.65,12,520,320,15,3719,7.15,11.62,29,309.9,94,236,382,2925,20,7.66,12.39,243.8,7,55,452,37.67,36,17,100,0,5.88,36,17,100,0,5.88,5,41,9,20,10,39,0.951,46,47,19,9,10,38,0.809,126,342,999,2.92,9,83.3,99,487,2310,4.74,25,192.5,86,28,212,2.33,86,46,42,1,0,15,1,367,30.6,87,39,35,1,0,13,0,310,25.8,61,60,24,272,72,6,56,179,73,0.408,82,71,175,0.406,114,"   331:10","   27:35",113,6,9,15,8,15,23,-8,-0.67,"B10",36,26,122.8,94.3,0.9539,53.6,49,15.8,18.6,34.5,27,29.9,31.7,51.5,47.2,37.4,34.2,67,6.1,"E8",3,"No",21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67
"54","Rutgers University",12,2,10,129,735,3277,4.46,18,273.1,98,837,5203,6.22,54,59,433.6,87,119,126,28,273,87,119,126,28,273,98,6,14,0.429,65,11,21,0.524,102,26,10,599,1,23.04,102,26,10,599,1,23.04,121,278,154,15,1672,6.01,10.86,7,139.3,76,209,343,2790,25,8.13,13.35,232.5,87,76,709,59.08,51,20,134,0,6.7,51,20,134,0,6.7,121,26,9,1,9,19,0.731,61,52,24,12,7,43,0.827,101,457,1605,3.51,11,133.8,107,494,2413,4.88,29,201.1,74,26,148,2.17,123,59,56,0,0,10,0,440,36.7,129,18,18,0,0,11,0,159,13.3,119,40,30,195,55,4.6,111,177,61,0.345,104,72,163,0.442,68,"   360:27","   30:02",126,4,6,10,8,15,23,-13,-1.08,"B10",31,14,104.9,96.1,0.7336,47,49.2,19.1,17.4,33.4,27,31.7,32.4,47.2,47,31.2,35.3,69,-3.5,NA,NA,"No",48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77
"55","San Diego State University",13,10,3,110,933,4461,4.78,27,343.2,5,804,3741,4.65,18,19,287.8,3,67,114,17,198,3,67,114,17,198,51,13,23,0.565,30,9,21,0.429,5,12,51,202,0,16.83,5,12,51,202,0,16.83,92,397,253,6,2634,6.63,10.41,15,202.6,44,265,448,2761,10,6.16,10.42,212.4,53,78,655,50.38,68,24,183,0,7.63,68,24,183,0,7.63,102,44,11,8,15,34,0.773,16,32,7,8,9,24,0.75,94,536,1827,3.41,12,140.5,2,356,980,2.75,8,75.4,32,21,163,1.62,2,19,17,2,0,10,0,165,12.7,112,30,28,1,0,22,0,276,21.2,45,60,44,316,82,6.3,85,207,79,0.382,28,61,179,0.341,6,"   440:04","   33:51",2,9,18,27,2,6,8,19,1.46,"MWC",33,21,102.3,96.8,0.6533,49.9,48.2,18.3,18.8,28.9,28.4,35.2,33.3,47.9,47.2,35.6,33,68,-4.2,NA,NA,"No",9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41
"56","Southern Methodist University",13,10,3,9,1037,6368,6.14,70,489.8,107,1004,5785,5.76,50,53,445,122,105,167,30,302,122,105,167,30,302,6,22,30,0.733,47,15,32,0.469,21,63,14,1135,1,18.02,21,63,14,1135,1,18.02,13,503,313,11,4017,7.99,12.83,35,309,125,289,482,3752,34,7.78,12.98,288.6,80,83,743,57.15,21,14,67,0,4.79,21,14,67,0,4.79,107,72,25,19,11,55,0.764,86,48,12,15,14,41,0.854,43,534,2351,4.4,35,180.8,63,522,2033,3.89,16,156.4,14,17,108,1.31,109,53,50,2,0,20,1,434,33.4,7,73,58,6,0,12,0,544,41.8,3,89,44,465,111,8.5,30,212,93,0.439,49,79,210,0.376,94,"   375:20","   28:52",40,12,9,21,6,11,17,4,0.31,"Amer",32,15,112.2,104.2,0.7021,51.2,50,16.6,17.5,33.4,31.6,27.8,29.5,51.3,48.2,34.1,35.1,66.4,-6.4,NA,NA,"Yes",4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
"57","University of South Carolina",12,4,8,96,862,4463,5.18,30,371.9,66,854,4719,5.53,32,37,393.3,37,97,127,22,246,37,97,127,22,246,81,13,27,0.481,9,5,14,0.357,115,16,37,384,0,24,115,16,37,384,0,24,74,466,268,7,2667,5.72,9.95,12,222.3,80,239,404,2823,23,6.99,11.81,235.3,72,79,656,54.67,124,18,249,2,13.83,124,18,249,2,13.83,105,34,13,4,9,26,0.765,48,37,7,11,12,30,0.811,82,396,1796,4.54,18,149.7,66,450,1896,4.21,9,158,69,25,166,2.08,53,37,35,1,0,18,0,313,26.1,104,31,29,0,0,18,0,269,22.4,61,63,18,271,72,6,120,184,59,0.321,56,69,180,0.383,117,"   324:17","   27:01",43,5,12,17,7,7,14,3,0.25,"SEC",31,16,107.8,96.3,0.7861,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,44.9,48.2,36.5,34.2,71.8,-2.1,NA,NA,"No",7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63
"58","University of South Florida",12,4,8,112,773,3970,5.14,33,330.8,71,887,4777,5.39,42,45,398.1,91,154,93,27,274,91,154,93,27,274,95,7,16,0.438,83,10,18,0.556,57,32,16,650,1,20.31,57,32,16,650,1,20.31,116,328,177,10,2035,6.2,11.5,18,169.6,15,203,325,2274,15,7,11.2,189.5,125,101,854,71.17,92,39,362,0,9.28,92,39,362,0,9.28,88,39,12,12,7,31,0.795,4,43,16,6,7,29,0.674,66,445,1935,4.35,15,161.3,114,562,2503,4.45,27,208.6,126,45,246,3.75,75,45,42,1,0,11,0,347,28.9,115,33,31,0,0,7,0,250,20.8,5,86,26,333,99,8.3,75,177,69,0.39,120,88,190,0.463,109,"   334:07","   27:50",32,12,12,24,9,10,19,5,0.42,"Amer",37,24,101.8,95.4,0.6778,49.1,48.4,22.6,21.9,36.3,26.8,48.1,43.1,48.5,48.2,33.3,32.5,68.6,-4.5,NA,NA,"No",7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17,7,11020,47
"59","University of Southern California",13,8,5,20,908,5920,6.52,53,455.4,78,928,5313,5.73,43,47,408.7,119,124,141,32,297,119,124,141,32,297,33,6,10,0.6,69,10,19,0.526,130,37,27,1102,2,29.78,130,37,27,1102,2,29.78,6,514,365,15,4365,8.49,11.96,35,335.8,96,281,460,3200,24,6.96,11.39,246.2,117,90,877,67.46,33,10,57,0,5.7,33,10,57,0,5.7,66,55,14,20,12,46,0.836,90,49,15,15,12,42,0.857,118,394,1555,3.95,18,119.6,72,468,2113,4.51,19,162.5,71,28,192,2.15,78,47,44,1,0,18,0,382,29.4,35,54,54,0,0,14,1,422,32.5,51,64,34,315,81,6.2,21,169,77,0.456,83,72,177,0.407,93,"   375:23","   28:52",119,7,9,16,11,15,26,-10,-0.77,"P12",33,16,109,100.5,0.7164,52.8,49.1,16.5,18.1,27,29.9,27.6,30,50.3,48.4,38.2,33.4,71.2,-7.1,NA,NA,"Yes",12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68
"60","University of Southern Mississippi",13,7,6,63,872,5291,6.07,37,407,37,803,4583,5.71,41,44,352.5,19,83,124,18,225,19,83,124,18,225,85,8,17,0.471,121,11,16,0.688,42,41,22,800,1,19.51,42,41,22,800,1,19.51,19,438,291,17,3764,8.59,12.93,20,289.5,82,217,366,3077,27,8.41,14.18,236.7,81,82,748,57.54,57,13,90,0,6.92,57,13,90,0,6.92,67,42,11,9,15,35,0.833,48,37,10,11,9,30,0.811,121,434,1527,3.52,17,117.5,18,437,1506,3.45,14,115.8,44,23,183,1.77,55,44,42,0,0,11,1,341,26.2,81,42,34,3,0,18,0,346,26.6,33,63,46,338,86,6.6,80,176,68,0.386,12,52,167,0.311,31,"   409:35","   31:30",122,5,10,15,9,17,26,-11,-0.85,"CUSA",29,20,106.8,101.2,0.649,53.1,49.1,15.7,19.4,22.9,28.1,24.1,29.8,49.9,47.1,39.1,34.2,66,-5.7,NA,NA,"No",2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45
"61","Syracuse University",12,5,7,71,909,4735,5.21,39,394.6,115,918,5569,6.07,47,47,464.1,105,119,137,27,283,105,119,137,27,283,110,11,28,0.393,11,7,19,0.368,116,19,43,460,0,24.21,116,19,43,460,0,24.21,60,408,250,7,2887,7.08,11.55,23,240.6,110,227,425,3150,21,7.41,13.88,262.5,128,107,887,73.92,5,10,17,0,1.7,5,10,17,0,1.7,110,46,11,13,11,35,0.761,47,42,17,11,6,34,0.81,71,501,1848,3.69,16,154,109,493,2419,4.91,26,201.6,128,50,297,4.17,88,47,42,1,0,14,0,368,30.7,69,41,39,0,0,18,0,339,28.3,48,55,40,287,75,6.3,88,205,78,0.38,101,82,192,0.427,84,"   351:50","   29:19",13,12,13,25,9,7,16,9,0.75,"ACC",34,20,110.5,94.2,0.8622,49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,49.3,46.9,33.3,32.9,67.3,0.4,"R64",8,"Yes",10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67
"62","Texas Christian University",12,5,7,62,905,4892,5.41,38,407.7,27,769,4043,5.26,38,39,336.9,1,81,92,22,195,1,81,92,22,195,103,5,12,0.417,18,6,15,0.4,49,32,23,639,0,19.97,49,32,23,639,0,19.97,90,395,211,11,2444,6.19,11.58,15,203.7,27,199,360,2396,22,6.66,12.04,199.7,101,78,736,61.33,44,11,70,0,6.36,44,11,70,0,6.36,8,53,21,8,21,50,0.943,116,40,13,12,11,36,0.9,29,510,2448,4.8,23,204,39,409,1647,4.03,16,137.3,99,30,192,2.5,57,39,33,1,0,16,0,317,26.4,55,41,40,0,0,26,0,364,30.3,74,57,24,214,69,5.8,14,202,95,0.47,32,59,169,0.349,15,"   395:04","   32:55",61,4,16,20,9,11,20,0,0,"B12",37,23,109.8,94.5,0.8486,52.1,48.4,19.2,18.6,31.2,28.7,31.7,27.7,52.3,49.9,34.6,30.4,70.1,1.1,NA,NA,"Yes",4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64
"63","University of Tennessee",13,8,5,100,821,4752,5.79,32,365.5,23,868,4348,5.01,31,34,334.5,49,117,115,25,257,49,117,115,25,257,130,2,12,0.167,44,13,28,0.464,15,11,46,195,0,17.73,15,11,46,195,0,17.73,75,360,200,13,2878,7.99,14.39,19,221.4,16,216,375,2522,14,6.73,11.68,194,66,83,683,52.54,42,14,87,0,6.21,42,14,87,0,6.21,92,47,10,13,14,37,0.787,57,45,15,12,10,37,0.822,87,461,1874,4.07,13,144.2,48,493,1826,3.7,17,140.5,32,21,138,1.62,29,34,30,0,0,16,0,282,21.7,98,35,35,0,0,23,0,314,24.2,87,63,16,317,71,5.5,33,176,76,0.432,68,72,183,0.393,78,"   381:44","   29:21",70,4,15,19,7,13,20,-1,-0.08,"SEC",36,31,122.8,95.2,0.9488,55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,"S16",2,"No",7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53
"64","University of Texas",13,8,5,14,950,6056,6.37,58,465.8,97,918,5609,6.11,41,42,431.5,115,100,164,28,292,115,100,164,28,292,118,7,19,0.368,18,8,20,0.4,98,21,51,472,1,22.48,98,21,51,472,1,22.48,20,470,306,10,3761,8,12.29,32,289.3,127,305,481,3803,28,7.91,12.47,292.5,120,95,890,68.46,12,9,30,0,3.33,12,9,30,0,3.33,12,50,22,17,7,46,0.92,104,51,12,17,16,45,0.882,48,480,2295,4.78,26,176.5,45,437,1806,4.13,13,138.9,111,36,199,2.77,65,42,38,2,0,21,0,357,27.5,17,59,56,2,1,14,0,458,35.2,41,72,22,282,83,6.4,7,184,90,0.489,63,72,184,0.391,42,"   400:06","   30:46",33,7,12,19,4,10,14,5,0.38,"B12",37,21,113.3,93.7,0.899,50.9,48.7,16.2,18.9,28.1,29.5,29.7,29.7,49.8,46.2,34.8,35.4,66.1,-0.5,NA,NA,"No",14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65
"65","Texas A&M University",13,8,5,72,881,5128,5.82,46,394.5,29,842,4423,5.25,32,35,340.2,43,101,127,22,250,43,101,127,22,250,23,7,11,0.636,115,9,14,0.643,106,28,46,656,0,23.43,106,28,46,656,0,23.43,64,452,273,10,3060,6.77,11.21,22,235.4,41,232,425,2724,19,6.41,11.74,209.5,76,87,720,55.38,128,18,281,1,15.61,128,18,281,1,15.61,41,58,18,16,17,51,0.879,67,37,11,10,10,31,0.838,68,429,2068,4.82,24,159.1,30,417,1699,4.07,13,130.7,107,34,200,2.62,37,35,33,0,0,16,1,293,22.5,62,47,46,1,0,18,0,384,29.5,28,65,50,386,90,6.9,66,160,64,0.4,15,55,174,0.316,11,"   430:26","   33:06",100,4,10,14,10,10,20,-6,-0.46,"SEC",32,14,106.4,98.3,0.7129,49.3,49.3,20,18.5,32.7,32.5,34.2,27,51,49.1,30.8,33.1,69,-4.4,NA,NA,"No",14474,10519,6392,49,85,31643,2798,5130,3412,600,2144,89,91,23.1,29,8471,69
"66","Tulane University",13,7,6,22,948,5841,6.16,52,449.3,51,892,4901,5.49,41,43,377,43,109,120,21,250,43,109,120,21,250,41,20,34,0.588,77,14,26,0.538,58,25,38,508,0,20.32,58,25,38,508,0,20.32,89,336,197,10,2679,7.97,13.6,19,206.1,54,228,422,2869,23,6.8,12.58,220.7,118,103,883,67.92,113,11,134,0,12.18,113,11,134,0,12.18,27,49,26,9,9,44,0.898,53,49,13,12,15,40,0.816,11,612,3162,5.17,33,243.2,62,470,2032,4.32,18,156.3,71,28,186,2.15,56,43,36,0,0,16,0,342,26.3,30,56,55,0,0,13,0,430,33.1,85,62,20,259,72,5.5,78,180,70,0.389,61,76,195,0.39,47,"   397:52","   30:36",78,4,12,16,8,10,18,-2,-0.15,"Amer",31,4,97,105,0.2856,47.1,50.6,21,15.1,27,30.9,32.8,31.6,46.7,50.7,31.8,33.6,71.2,-17.2,NA,NA,"Yes",7033,5125,1223,47,75,4941,1534,19040,5950,350,800,98,98,9.1,21,16920,74
"67","University of Tulsa",12,4,8,53,947,5036,5.32,38,419.7,70,835,4737,5.67,43,48,394.8,26,103,99,31,233,26,103,99,31,233,51,13,23,0.565,117,21,31,0.677,54,49,9,985,1,20.1,54,49,9,985,1,20.1,30,444,254,9,3376,7.6,13.29,20,281.3,42,191,339,2516,14,7.42,13.17,209.7,130,109,949,79.08,86,23,208,0,9.04,86,23,208,0,9.04,80,49,16,10,14,40,0.816,22,43,19,4,10,33,0.767,95,503,1660,3.3,18,138.3,90,496,2221,4.48,29,185.1,123,39,242,3.25,92,48,44,0,0,14,1,376,31.3,84,39,38,0,0,15,0,317,26.4,103,46,30,201,61,5.1,37,205,88,0.429,28,61,179,0.341,46,"   367:51","   30:39",75,13,5,18,10,9,19,-1,-0.08,"Amer",32,18,104.8,99.2,0.6507,51.2,48.1,18,17.6,23,29.4,43.4,30.3,51.3,47.3,34,32.8,70.1,-3.5,NA,NA,"Yes",1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47
"68","University of Alabama at Birmingham",14,9,5,105,896,4926,5.5,36,351.9,8,897,4226,4.71,35,38,301.9,33,88,101,51,240,33,88,101,51,240,106,8,20,0.4,25,12,29,0.414,107,16,52,376,0,23.5,107,16,52,376,0,23.5,94,338,192,20,2815,8.33,14.66,20,201.1,8,217,420,2571,22,6.12,11.85,183.6,124,101,992,70.86,34,19,109,1,5.74,34,19,109,1,5.74,78,44,15,6,15,36,0.818,60,46,10,19,9,38,0.826,76,558,2111,3.78,16,150.8,20,477,1655,3.47,13,118.2,49,25,163,1.79,28,38,33,1,0,13,0,302,21.6,102,38,37,0,0,19,1,324,23.1,14,83,46,400,106,7.6,121,182,57,0.313,3,53,187,0.283,30,"   442:37","   31:36",109,13,7,20,8,20,28,-8,-0.57,"CUSA",33,20,106.2,105.1,0.5307,50.4,49.4,16.8,17.9,30.6,26.2,31.8,31.6,51.3,48.1,32.6,33.9,66.4,-7.4,NA,NA,"No",1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33
"69","University of Central Florida",13,10,3,2,1016,7026,6.92,70,540.5,32,985,4499,4.57,31,36,346.1,63,111,120,31,262,63,111,120,31,262,47,19,33,0.576,114,16,25,0.64,99,33,52,743,1,22.52,99,33,52,743,1,22.52,8,457,271,8,4117,9.01,15.19,36,316.7,26,230,439,2593,17,5.91,11.27,199.5,126,111,952,73.23,122,10,137,1,13.7,122,10,137,1,13.7,90,57,20,13,12,45,0.789,65,43,12,12,12,36,0.837,19,559,2909,5.2,34,223.8,53,546,1906,3.49,14,146.6,53,24,140,1.85,41,36,31,2,0,16,0,299,23,5,74,71,1,0,15,1,564,43.4,1,89,56,436,117,9,61,200,81,0.405,5,63,215,0.293,123,"   344:14","   26:28",27,8,13,21,7,8,15,6,0.46,"Amer",33,24,112.7,93.3,0.898,52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,52,44.5,36.5,31.3,66.4,2,"R32",9,"No",6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
